propertyType,price,area,province,district,municipality,wardNo,bhk,furnished,parking,roadAccess,roomType,wifi,floorNumber,meetingRoom,propertyAgeYears
land,12364231,1753.03,Bagmati,Lalitpur,Lalitpur Metropolitan City,18,0,,False,25,,False,0,False,0
land,9287781,836.67,Bagmati,Lalitpur,Lalitpur Metropolitan City,28,0,,False,10,,False,0,False,0
land,39570403,3778.88,Gandaki,Kaski,Pokhara Metropolitan City,13,0,,False,16,,False,0,False,0
office,20851,4104.32,Gandaki,Kaski,Pokhara Metropolitan City,18,0,fully-furnished,False,13,,False,5,True,13
land,27090698,2333.69,Koshi,Morang,Biratnagar Metropolitan City,6,0,,False,30,,False,0,False,0
room,43142,756.76,Koshi,Morang,Biratnagar Metropolitan City,3,0,semi-furnished,True,20,shared,False,5,False,6
land,8354748,4024.19,Bagmati,Lalitpur,Lalitpur Metropolitan City,15,0,,False,30,,False,0,False,0
land,45660060,1895.29,Gandaki,Kaski,Pokhara Metropolitan City,25,0,,False,30,,False,0,False,0
home,49974694,2292.14,Koshi,Morang,Biratnagar Metropolitan City,24,3,unfurnished,True,20,,False,2,False,34
home,47949656,2393.71,Gandaki,Kaski,Pokhara Metropolitan City,30,5,fully-furnished,False,30,,False,1,False,14
room,21826,340.97,Bagmati,Kathmandu,Kathmandu Metropolitan City,26,1,fully-furnished,False,16,2bhk,False,2,False,8
home,33751707,3937.46,Bagmati,Bhaktapur,Bhaktapur Municipality,17,5,semi-furnished,False,10,,False,2,False,32
land,13257007,4402.74,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,0,,False,25,,False,0,False,0
office,98104,2108.41,Bagmati,Bhaktapur,Bhaktapur Municipality,5,0,semi-furnished,False,20,,False,1,True,34
room,18365,364.15,Bagmati,Chitwan,Bharatpur Metropolitan City,8,2,fully-furnished,False,20,double,True,3,False,26
home,15841372,2370.44,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,5,unfurnished,True,20,,False,3,False,31
land,23636923,4478.5,Bagmati,Kathmandu,Kathmandu Metropolitan City,24,0,,False,10,,False,0,False,0
home,37614267,1159.74,Bagmati,Kathmandu,Kathmandu Metropolitan City,6,1,unfurnished,True,10,,False,4,False,35
room,43343,967.93,Bagmati,Bhaktapur,Bhaktapur Municipality,28,1,unfurnished,False,16,2bhk,False,4,False,28
office,28392,1465.16,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8,0,semi-furnished,True,20,,False,4,True,0
land,5108087,989.82,Bagmati,Lalitpur,Lalitpur Metropolitan City,15,0,,False,30,,False,0,False,0
land,35575615,1897.45,Koshi,Morang,Biratnagar Metropolitan City,16,0,,False,10,,False,0,False,0
home,36740676,1820.59,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,31,4,fully-furnished,True,0,,False,4,False,22
office,27100,4360.03,Koshi,Jhapa,Birtamode Municipality,30,0,unfurnished,True,0,,False,7,False,6
home,14407474,3052.4,Gandaki,Kaski,Pokhara Metropolitan City,13,4,fully-furnished,False,16,,False,2,False,4
land,39278242,3504.22,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,0,,False,30,,False,0,False,0
land,35590824,1415.14,Bagmati,Kathmandu,Kathmandu Metropolitan City,16,0,,False,16,,False,0,False,0
office,20282,1073.79,Gandaki,Kaski,Pokhara Metropolitan City,4,0,semi-furnished,False,30,,False,8,False,27
office,48534,1192.52,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,0,fully-furnished,True,25,,False,6,True,3
home,10376189,4835.27,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,2,fully-furnished,True,25,,False,2,False,25
home,33133707,3401.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,3,5,unfurnished,False,13,,False,2,False,20
room,27660,217.79,Gandaki,Kaski,Pokhara Metropolitan City,26,2,semi-furnished,True,0,studio,True,1,False,17
room,12508,939.93,Gandaki,Kaski,Pokhara Metropolitan City,9,1,semi-furnished,False,10,studio,False,5,False,25
land,9951572,4706.55,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,20,0,,False,10,,False,0,False,0
land,13431932,3892.39,Bagmati,Chitwan,Bharatpur Metropolitan City,7,0,,False,13,,False,0,False,0
home,47562988,1655.11,Bagmati,Chitwan,Bharatpur Metropolitan City,22,3,unfurnished,False,13,,False,1,False,5
room,16573,103.19,Koshi,Jhapa,Birtamode Municipality,3,1,fully-furnished,False,20,2bhk,False,5,False,0
land,27777665,3046.04,Bagmati,Lalitpur,Lalitpur Metropolitan City,10,0,,False,20,,False,0,False,0
home,25686867,1335.27,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,3,fully-furnished,False,10,,False,2,False,6
