feature,importance
categorical__propertyType_home,0.28640290488877196
numerical__roadAccess,0.17247960078241562
numerical__propertyAgeYears,0.14232239085418316
numerical__area,0.09217733822210805
numerical__price,0.061793796188359666
categorical__furnished_unfurnished,0.04034030033876029
categorical__furnished_fully-furnished,0.03257220691910805
numerical__wardNo,0.03239084365541746
numerical__bhk,0.027364925868977916
categorical__province_Bagmati,0.01651755285406092
numerical__floorNumber,0.014430744129667035
categorical__province_Koshi,0.009278249074561193
numerical__parking,0.008467806758510705
categorical__municipality_Kathmandu Metropolitan City,0.007129169566167004
categorical__district_Kathmandu,0.007043129317216967
categorical__furnished_semi-furnished,0.005010050085833312
categorical__province_Sudurpashchim,0.004264721646936686
categorical__district_Kailali,0.004158624499063263
categorical__municipality_Dhangadhi Sub-Metropolitan City,0.004016337201885787
numerical__wifi,0.0035866443226441917
categorical__municipality_Bharatpur Metropolitan City,0.0024651044638393503
categorical__municipality_Birtamode Municipality,0.0024354481093505367
categorical__district_Chitwan,0.0023830544086775327
categorical__district_Jhapa,0.0022741159312333233
numerical__meetingRoom,0.0019812041575031593
categorical__municipality_Lalitpur Metropolitan City,0.0017236045536342588
categorical__district_Lalitpur,0.0015744179515323105
categorical__province_Gandaki,0.0015113527224240937
categorical__municipality_Pokhara Metropolitan City,0.0014028224097051894
categorical__district_Kaski,0.0012865492450796312
categorical__roomType_single,0.0010806113599235664
categorical__municipality_Biratnagar Metropolitan City,0.0009171859016301594
categorical__municipality_Bhaktapur Municipality,0.0007902547530812237
categorical__district_Bhaktapur,0.0007624338421329001
categorical__roomType_shared,0.0006834385004032131
categorical__district_Morang,0.0006743806023073352
categorical__roomType_1bhk,0.0006361600238329166
categorical__roomType_2bhk,0.0006171485369499785
categorical__roomType_double,0.0005534384316525375
categorical__roomType_studio,0.0004864087168965935
categorical__province_Lumbini,0.0004719030603036674
categorical__municipality_Butwal Sub-Metropolitan City,0.00045590681937456126
categorical__district_Rupandehi,0.00035825740187204303
categorical__propertyType_office,0.00032388267050218844
categorical__propertyType_room,0.0003169411593309408
categorical__propertyType_land,8.663709217758306e-05
